,CONSUMPTION,AVG_PRICE
2018-01-01,0.0,0.0
2018-01-02,1.3438307219012338,2.0
2018-01-03,16.428596473180754,2.0
2018-01-04,20.69083120710568,2.0
2018-01-05,40.0884051047295,2.0
2018-01-06,47.66785380447106,2.0
2018-01-07,48.54585730639463,2.0
2018-01-08,56.321066009768664,2.0
2018-01-09,80.80327027564685,2.0
2018-01-10,82.28066353799137,2.0
2018-01-11,88.30098135831537,2.0
2018-01-12,103.17610592688929,2.0
2018-01-13,115.95604337543396,2.0
2018-01-14,117.13134299598207,2.0
2018-01-15,118.84698894434297,2.0
2018-01-16,120.10893382085808,2.0
2018-01-17,120.20365741350373,2.0
2018-01-18,139.13770385623425,2.0
2018-01-19,150.05617923214427,2.0
2018-01-20,159.66544836470928,2.0
2018-01-21,179.3893001803523,2.0
2018-01-22,180.47299888478548,2.0
2018-01-23,187.57185941915068,2.0
2018-01-24,190.54706729853683,2.0
2018-01-25,197.15040230452712,2.0
2018-01-26,199.41504558242852,2.0
2018-01-27,201.23589936194912,2.0
2018-01-28,240.38441415312778,2.0
2018-01-29,246.5799126530514,2.0
2018-01-30,257.42547440379764,2.0
2018-01-31,274.62057302390866,2.0
2018-02-01,294.9109171478243,2.0
2018-02-02,295.98413773152066,2.0
2018-02-03,321.04166640736946,2.0
2018-02-04,322.5832828490505,2.0
2018-02-05,323.83987530003793,2.0
2018-02-06,323.9237680080883,2.0
2018-02-07,345.3514755353043,2.0
2018-02-08,349.11778223627084,2.0
2018-02-09,350.15584390017193,2.0
2018-02-10,370.7081960188674,2.0
2018-02-11,385.69363778174244,2.0
2018-02-12,389.65357080076114,2.0
2018-02-13,392.14916074681173,2.0
2018-02-14,407.71659452810195,2.0
2018-02-15,413.51314204864167,2.0
2018-02-16,423.25745493698577,2.0
2018-02-17,423.7148943743134,2.0
2018-02-18,423.7465283240949,2.0
2018-02-19,429.97302109368354,2.0
2018-02-20,438.0504791496243,2.0
2018-02-21,439.62832343311203,2.0
2018-02-22,442.5495363396117,2.0
2018-02-23,444.9014935071359,2.0
2018-02-24,448.50073114543227,2.0
2018-02-25,453.19588766733807,2.0
2018-02-26,458.7460070899335,2.0
2018-02-27,465.4186028808476,2.0
2018-02-28,467.33027488029546,2.0
2018-03-01,484.18099134817135,2.0
2018-03-02,502.9150213065036,2.0
2018-03-03,514.5120189329258,2.0
2018-03-04,519.7183931147364,2.0
2018-03-05,533.8380658488563,2.0
2018-03-06,534.9981270910107,2.0
2018-03-07,535.0066376115652,2.0
2018-03-08,535.2087356569451,2.0
2018-03-09,547.3002470828204,2.0
2018-03-10,547.8750165436043,2.0
2018-03-11,556.2062336700774,2.0
2018-03-12,561.920595487222,2.0
2018-03-13,569.2844815859889,2.0
2018-03-14,574.1570618240895,2.0
2018-03-15,584.4950027233886,2.0
2018-03-16,585.6492699691491,2.0
2018-03-17,612.0601393864118,2.0
2018-03-18,612.9836941453723,2.0
2018-03-19,615.3621680696612,2.0
2018-03-20,619.4610166210981,2.0
2018-03-21,619.5995062187081,2.0
2018-03-22,625.9217196656579,2.0
2018-03-23,636.2125211262304,2.0
2018-03-24,658.7132807042486,2.0
2018-03-25,660.3354489977266,2.0
2018-03-26,673.2436380497531,2.0
2018-03-27,673.5432594981155,2.0
2018-03-28,680.9946085316866,2.0
2018-03-29,683.3350068526877,2.0
2018-03-30,689.8064109557706,2.0
2018-03-31,690.6208756929345,2.0
2018-04-01,694.1146809559287,2.0
2018-04-02,697.9672450860828,2.0
2018-04-03,708.3937031002907,2.0
2018-04-04,719.5246406787456,2.0
2018-04-05,727.9097276305645,2.0
2018-04-06,750.2947554158984,2.0
2018-04-07,764.7163501410548,2.0
2018-04-08,767.6920500755434,2.0
2018-04-09,769.7024787914601,2.0
2018-04-10,772.5759010753277,2.0
2018-04-11,776.0684229363584,2.0
2018-04-12,776.9818329022257,2.0
2018-04-13,785.1200991798992,2.0
2018-04-14,802.5772192312829,2.0
2018-04-15,804.1640502093525,2.0
2018-04-16,804.317573667614,2.0
2018-04-17,820.5561316292798,2.0
2018-04-18,822.8838349384349,2.0
2018-04-19,828.8480751782438,2.0
2018-04-20,830.0238342892451,2.0
2018-04-21,832.5472073504667,2.0
2018-04-22,847.9431296835791,2.0
2018-04-23,856.3874754273448,2.0
2018-04-24,860.5880947593375,2.0
2018-04-25,868.1952443718893,2.0
2018-04-26,874.6739885104319,2.0
2018-04-27,874.8860666234857,2.0
2018-04-28,889.1971451594495,2.0
2018-04-29,893.7168831216575,2.0
2018-04-30,924.5968638955706,2.0
2018-05-01,926.9283973651566,2.0
2018-05-02,942.623769402907,2.0
2018-05-03,943.2130901334201,2.0
2018-05-04,946.9490724000458,2.0
2018-05-05,948.688176033207,2.0
2018-05-06,973.1355643981236,2.0
2018-05-07,979.9960401747481,2.0
2018-05-08,988.9943974659939,2.0
2018-05-09,990.4657248414358,2.0
2018-05-10,993.2850853094103,2.0
2018-05-11,999.2467345553447,2.0
2018-05-12,1005.4809329183942,2.0
