,CONSUMPTION,AVG_PRICE
2015-01-01,0.0,0.0
2015-01-02,1.3457908237582887,2.0
2015-01-03,18.509018683188003,2.0
2015-01-04,22.605156081227697,2.0
2015-01-05,27.924033217332052,2.0
2015-01-06,41.526811683883864,2.0
2015-01-07,45.26812993814955,2.0
2015-01-08,46.95628953205028,2.0
2015-01-09,67.6789504680835,2.0
2015-01-10,82.61709912948986,2.0
2015-01-11,83.75675291966355,2.0
2015-01-12,84.81447244092566,2.0
2015-01-13,90.75750132333378,2.0
2015-01-14,92.28080733913875,2.0
2015-01-15,101.43953493483616,2.0
2015-01-16,102.21993351148063,2.0
2015-01-17,111.61025627800876,2.0
2015-01-18,111.98508379673727,2.0
2015-01-19,147.1098150134627,2.0
2015-01-20,160.22846010619966,2.0
2015-01-21,162.57899693369535,2.0
2015-01-22,178.5679055772859,2.0
2015-01-23,194.98976576761035,2.0
2015-01-24,201.83389893549122,2.0
2015-01-25,221.01081854489513,2.0
2015-01-26,233.7420956600516,2.0
2015-01-27,238.1817692658074,2.0
2015-01-28,244.10440578434168,2.0
2015-01-29,246.2903954568273,2.0
2015-01-30,249.78683239877657,2.0
2015-01-31,259.8412210217169,2.0
2015-02-01,288.2701589641639,2.0
2015-02-02,291.5206681526788,2.0
2015-02-03,309.84749895352076,2.0
2015-02-04,310.796090227501,2.0
2015-02-05,318.6537884594911,2.0
2015-02-06,327.6133398010568,2.0
2015-02-07,342.23104332329785,2.0
2015-02-08,342.6236361718754,2.0
2015-02-09,353.22203546611195,2.0
2015-02-10,359.2739527671099,2.0
2015-02-11,359.65633134449945,2.0
2015-02-12,365.66939546433423,2.0
2015-02-13,377.24268654761596,2.0
2015-02-14,377.6669001481639,2.0
2015-02-15,382.74496048229844,2.0
2015-02-16,383.17832165130517,2.0
2015-02-17,386.1964543731724,2.0
2015-02-18,389.45068636991294,2.0
2015-02-19,391.07817144690307,2.0
2015-02-20,404.95814074594716,2.0
2015-02-21,405.9483849941748,2.0
2015-02-22,412.79780332872394,2.0
2015-02-23,426.8938646884655,2.0
2015-02-24,451.49131342565573,2.0
2015-02-25,460.84225792114745,2.0
2015-02-26,477.188606444507,2.0
2015-02-27,480.38666006386836,2.0
2015-02-28,484.56801119977786,2.0
