,CONSUMPTION,AVG_PRICE
2013-01-01,0.0,0.0
2013-01-02,2.002353603127527,2.0
2013-01-03,5.279013889906691,2.0
2013-01-04,8.488832198019582,2.0
2013-01-05,18.50565542684339,2.0
2013-01-06,20.888209167217425,2.0
2013-01-07,48.311083222524175,2.0
2013-01-08,59.346766866288526,2.0
2013-01-09,84.47576589661067,2.0
2013-01-10,91.15134725099135,2.0
2013-01-11,91.95577808319585,2.0
2013-01-12,107.39855595962084,2.0
2013-01-13,109.56363895647279,2.0
2013-01-14,111.36492375032758,2.0
2013-01-15,120.83721296894642,2.0
2013-01-16,123.22933277911433,2.0
2013-01-17,145.18459624630043,2.0
2013-01-18,146.2699613325666,2.0
2013-01-19,151.0923311726076,2.0
2013-01-20,157.78377748335203,2.0
2013-01-21,158.7839798317254,2.0
2013-01-22,164.4696075931932,2.0
2013-01-23,173.3829285556194,2.0
2013-01-24,216.51291285469105,2.0
2013-01-25,217.97601927478394,2.0
2013-01-26,224.9264350432067,2.0
2013-01-27,240.99288378294284,2.0
2013-01-28,252.2399877501986,2.0
2013-01-29,254.82835820792738,2.0
2013-01-30,274.32769501813743,2.0
2013-01-31,274.5998906405356,2.0
2013-02-01,281.156108990087,2.0
2013-02-02,282.90966340261787,2.0
2013-02-03,284.11134122561407,2.0
2013-02-04,286.1568766561407,2.0
2013-02-05,296.2092800802363,2.0
2013-02-06,306.9866899847346,2.0
2013-02-07,317.74276011491986,2.0
2013-02-08,332.915459236848,2.0
2013-02-09,341.700629003653,2.0
2013-02-10,341.70569806471434,2.0
2013-02-11,366.7585957992483,2.0
2013-02-12,379.01333836998384,2.0
2013-02-13,391.1280777765214,2.0
2013-02-14,393.9537489622008,2.0
2013-02-15,398.403084514,2.0
2013-02-16,400.6398177653307,2.0
2013-02-17,412.50445594103456,2.0
2013-02-18,414.67087493447684,2.0
2013-02-19,424.6767912438424,2.0
2013-02-20,429.28904292860534,2.0
2013-02-21,430.69790006762736,2.0
2013-02-22,437.21048915522516,2.0
2013-02-23,444.9798464091302,2.0
2013-02-24,450.2455567416661,2.0
2013-02-25,460.82205874992803,2.0
2013-02-26,467.25148601302527,2.0
2013-02-27,469.6377353801465,2.0
2013-02-28,477.15231626385906,2.0
2013-03-01,481.7834451141923,2.0
2013-03-02,488.3668463905465,2.0
2013-03-03,489.83710114127825,2.0
2013-03-04,492.1137604525061,2.0
2013-03-05,493.53497540222304,2.0
2013-03-06,501.53431828630863,2.0
2013-03-07,518.773280210989,2.0
2013-03-08,519.659586128065,2.0
2013-03-09,523.7651244035554,2.0
2013-03-10,535.9216726114354,2.0
2013-03-11,556.714050248644,2.0
2013-03-12,562.9656748540312,2.0
2013-03-13,578.705839445835,2.0
2013-03-14,603.9088393901629,2.0
2013-03-15,608.5308885738538,2.0
2013-03-16,613.3206414787282,2.0
2013-03-17,621.9662821532377,2.0
2013-03-18,628.2378013013753,2.0
2013-03-19,631.5572354329955,2.0
2013-03-20,633.0063575859963,2.0
2013-03-21,637.1432929520078,2.0
2013-03-22,653.5374358083942,2.0
2013-03-23,655.4385612520488,2.0
2013-03-24,658.0817563389256,2.0
2013-03-25,659.5119487423938,2.0
2013-03-26,703.4853832643753,2.0
2013-03-27,707.2985751344402,2.0
2013-03-28,718.1821860386652,2.0
2013-03-29,743.2593367101153,2.0
2013-03-30,806.4749609697952,2.0
2013-03-31,807.4652549501566,2.0
2013-04-01,809.0033004718222,2.0
2013-04-02,811.3030347064183,2.0
2013-04-03,813.5144391448802,2.0
2013-04-04,824.6188617878837,2.0
2013-04-05,835.8981992571929,2.0
2013-04-06,837.1772430149141,2.0
2013-04-07,837.7972255719594,2.0
2013-04-08,847.2558067680919,2.0
2013-04-09,868.0748536600996,2.0
2013-04-10,868.9634716375566,2.0
2013-04-11,872.3083692409537,2.0
2013-04-12,873.1636674903423,2.0
2013-04-13,882.9177734544927,2.0
2013-04-14,888.40096955913,2.0
2013-04-15,907.0360616047788,2.0
2013-04-16,907.3470447771404,2.0
2013-04-17,920.8281025625348,2.0
2013-04-18,923.2123177039233,2.0
2013-04-19,932.2640398559683,2.0
2013-04-20,934.0584585907625,2.0
2013-04-21,984.561009656087,2.0
2013-04-22,985.2977645222683,2.0
2013-04-23,985.5497507746699,2.0
2013-04-24,999.0878795295246,2.0
2013-04-25,1011.66757308944,2.0
2013-04-26,1013.5261608059205,2.0
2013-04-27,1017.3961040727031,2.0
2013-04-28,1031.4096598543229,2.0
2013-04-29,1034.1291009283905,2.0
2013-04-30,1040.7882068876374,2.0
2013-05-01,1057.1907549239465,2.0
2013-05-02,1057.7566838746736,2.0
2013-05-03,1062.852195901424,2.0
2013-05-04,1072.5147865711428,2.0
2013-05-05,1081.7274106581337,2.0
2013-05-06,1083.889087942128,2.0
2013-05-07,1086.7979859220366,2.0
2013-05-08,1087.9370883088,2.0
2013-05-09,1099.8921634336673,2.0
2013-05-10,1109.706259174538,2.0
2013-05-11,1145.3451303220484,2.0
2013-05-12,1160.9122380863948,2.0
2013-05-13,1169.9552246112835,2.0
2013-05-14,1178.2033192367062,2.0
2013-05-15,1189.8665936453401,2.0
2013-05-16,1204.6565541220216,2.0
2013-05-17,1227.570843040427,2.0
2013-05-18,1233.1004248829981,2.0
2013-05-19,1234.851289415876,2.0
2013-05-20,1246.2947256889875,2.0
2013-05-21,1265.7530669818493,2.0
2013-05-22,1267.4912423937249,2.0
