,CONSUMPTION,AVG_PRICE
2017-01-01,0.0,0.0
2017-01-02,1.8158061898877602,2.0
2017-01-03,2.990369310930258,2.0
2017-01-04,15.713353228976008,2.0
2017-01-05,20.988462405187967,2.0
2017-01-06,33.355028627487684,2.0
2017-01-07,37.148401157981965,2.0
2017-01-08,40.7584981166226,2.0
2017-01-09,49.40601874595241,2.0
2017-01-10,55.997019897045355,2.0
2017-01-11,59.707339561566144,2.0
2017-01-12,78.31601324865419,2.0
2017-01-13,86.19422689545664,2.0
2017-01-14,109.67287370465426,2.0
2017-01-15,109.79830199615704,2.0
2017-01-16,115.92609499759467,2.0
2017-01-17,132.63082757348673,2.0
2017-01-18,137.73158185603523,2.0
2017-01-19,166.9821386073618,2.0
2017-01-20,171.35092882970636,2.0
2017-01-21,176.33493025687162,2.0
2017-01-22,182.3344248987729,2.0
2017-01-23,185.8657139237577,2.0
2017-01-24,192.3124394243092,2.0
2017-01-25,200.73606417631828,2.0
2017-01-26,203.24799226156773,2.0
2017-01-27,213.53822425069717,2.0
2017-01-28,216.00670206355463,2.0
2017-01-29,216.62370694550538,2.0
2017-01-30,222.9825911887287,2.0
2017-01-31,232.99130313717384,2.0
2017-02-01,242.89563710682552,2.0
2017-02-02,257.95389002029134,2.0
2017-02-03,269.6604656370165,2.0
2017-02-04,273.272013960701,2.0
2017-02-05,281.4590764539071,2.0
2017-02-06,297.0617532752448,2.0
2017-02-07,304.6250396704072,2.0
2017-02-08,306.09097334683935,2.0
2017-02-09,319.7823625147182,2.0
2017-02-10,347.1052242993996,2.0
2017-02-11,360.94951333537057,2.0
2017-02-12,373.56414236525643,2.0
2017-02-13,388.0566977577355,2.0
2017-02-14,400.8588686299704,2.0
2017-02-15,406.0929998140498,2.0
2017-02-16,407.647552583231,2.0
2017-02-17,454.0435530371337,2.0
2017-02-18,459.1310539748653,2.0
2017-02-19,471.9941071608519,2.0
2017-02-20,485.17003943056136,2.0
2017-02-21,488.9844126941289,2.0
2017-02-22,493.3829715524423,2.0
2017-02-23,498.2272731359812,2.0
2017-02-24,501.1341635154121,2.0
2017-02-25,518.0086589067491,2.0
2017-02-26,528.8596613860152,2.0
2017-02-27,531.632300052434,2.0
2017-02-28,537.5611067205158,2.0
2017-03-01,544.028420592139,2.0
2017-03-02,544.8472353866209,2.0
2017-03-03,556.7911369992433,2.0
2017-03-04,565.7014714201333,2.0
2017-03-05,572.7287801323577,2.0
2017-03-06,577.0216579546642,2.0
2017-03-07,577.6111745943311,2.0
2017-03-08,585.7933582214728,2.0
2017-03-09,586.8397712504081,2.0
2017-03-10,589.4550034261205,2.0
2017-03-11,596.5599777188195,2.0
2017-03-12,607.8194249175781,2.0
2017-03-13,611.9724351391415,2.0
2017-03-14,613.9836871880782,2.0
2017-03-15,615.9456218776888,2.0
2017-03-16,617.279735981426,2.0
2017-03-17,626.5884982163709,2.0
2017-03-18,629.5535607495117,2.0
2017-03-19,630.6439439347342,2.0
2017-03-20,634.7600834771431,2.0
2017-03-21,637.3991892705352,2.0
2017-03-22,639.4016230660704,2.0
2017-03-23,648.8451973873699,2.0
2017-03-24,666.0021124916836,2.0
2017-03-25,668.2300647217329,2.0
2017-03-26,669.3657926185448,2.0
2017-03-27,693.0320678487313,2.0
2017-03-28,696.0867712215809,2.0
2017-03-29,710.5544436280716,2.0
2017-03-30,722.4271110511215,2.0
2017-03-31,729.0708519019136,2.0
2017-04-01,746.7799300008552,2.0
2017-04-02,748.5288186301206,2.0
2017-04-03,760.5223880196282,2.0
2017-04-04,773.8583310345892,2.0
2017-04-05,777.625384841008,2.0
2017-04-06,782.4917936968889,2.0
2017-04-07,789.7204136396916,2.0
2017-04-08,796.0557832665294,2.0
2017-04-09,801.9647975920244,2.0
2017-04-10,802.2894379474075,2.0
2017-04-11,809.8054936362944,2.0
2017-04-12,819.6341724290193,2.0
2017-04-13,832.0623700254295,2.0
2017-04-14,847.4535217862827,2.0
2017-04-15,860.7295251652952,2.0
2017-04-16,862.7804457868975,2.0
2017-04-17,868.3672192057132,2.0
2017-04-18,869.5872360345729,2.0
2017-04-19,872.9948936135313,2.0
2017-04-20,874.9002319263152,2.0
2017-04-21,882.7485121198303,2.0
2017-04-22,920.227745275038,2.0
2017-04-23,924.4809249115963,2.0
2017-04-24,924.8274051556505,2.0
2017-04-25,944.4119808149239,2.0
2017-04-26,944.7902776592357,2.0
2017-04-27,951.3646996377901,2.0
2017-04-28,959.4004341064641,2.0
2017-04-29,963.560333463513,2.0
2017-04-30,964.410238676093,2.0
2017-05-01,965.2577570653219,2.0
2017-05-02,965.9661864455629,2.0
2017-05-03,976.3059234544307,2.0
2017-05-04,979.715430884666,2.0
2017-05-05,993.3871745241904,2.0
2017-05-06,993.9229879283338,2.0
2017-05-07,1008.0928770599678,2.0
2017-05-08,1018.1688762757257,2.0
2017-05-09,1019.0467959663171,2.0
2017-05-10,1024.0497649686404,2.0
2017-05-11,1024.8457394354195,2.0
2017-05-12,1025.6686106434108,2.0
2017-05-13,1035.5969673638265,2.0
2017-05-14,1055.4832164399181,2.0
2017-05-15,1105.2802329660858,2.0
2017-05-16,1107.948163382702,2.0
2017-05-17,1124.172657233632,2.0
2017-05-18,1151.0705386174739,2.0
2017-05-19,1154.8970907710354,2.0
2017-05-20,1181.9767079573262,2.0
2017-05-21,1189.764095517771,2.0
2017-05-22,1212.9304024630158,2.0
