,CONSUMPTION,AVG_PRICE
2016-01-01,0.0,0.0
2016-01-02,20.58854006519782,2.0
2016-01-03,24.956798670530965,2.0
2016-01-04,25.111638072523828,2.0
2016-01-05,52.79798692460462,2.0
2016-01-06,56.36786093830996,2.0
2016-01-07,68.4999846756477,2.0
2016-01-08,78.72535032761236,2.0
2016-01-09,82.33204031816985,2.0
2016-01-10,85.51427700520458,2.0
2016-01-11,85.67299563296154,2.0
2016-01-12,89.55849703782324,2.0
2016-01-13,102.70786523823581,2.0
2016-01-14,140.23535596696962,2.0
2016-01-15,142.8582706473134,2.0
2016-01-16,143.57142888291028,2.0
2016-01-17,153.2853372791357,2.0
2016-01-18,157.41937051676723,2.0
2016-01-19,160.74771921137082,2.0
2016-01-20,161.42362050565228,2.0
2016-01-21,166.5368444820634,2.0
2016-01-22,170.45101194343835,2.0
2016-01-23,172.06811348874936,2.0
2016-01-24,173.92154258627406,2.0
2016-01-25,175.28925619153654,2.0
2016-01-26,176.45021812386878,2.0
2016-01-27,176.99700857501855,2.0
2016-01-28,185.7246459839185,2.0
2016-01-29,208.2669547596583,2.0
2016-01-30,218.87220431270134,2.0
2016-01-31,222.96447952023732,2.0
2016-02-01,233.128076769715,2.0
2016-02-02,245.26060366840156,2.0
2016-02-03,267.80665822091163,2.0
2016-02-04,272.094315984262,2.0
2016-02-05,277.68080388842776,2.0
2016-02-06,286.2474396306221,2.0
2016-02-07,286.30081611480836,2.0
2016-02-08,296.4604778180414,2.0
2016-02-09,300.2660566006953,2.0
2016-02-10,301.3152821291017,2.0
2016-02-11,307.78431999670534,2.0
2016-02-12,323.5699847386871,2.0
2016-02-13,324.33585250632984,2.0
2016-02-14,334.24177922637614,2.0
2016-02-15,343.8752611102898,2.0
2016-02-16,351.7950803437767,2.0
2016-02-17,353.5138110890349,2.0
2016-02-18,355.1374637544689,2.0
2016-02-19,360.0549889414243,2.0
2016-02-20,376.50664326880093,2.0
2016-02-21,382.1240872656226,2.0
